	(1)	(2)	(3)	(4)	(5)
VARIABLES	wage_change	wage_change	_t	_t	_t
					
p1_tenure_sp					-0.0750***
					(0.0269)
p2_tenure_sp					-0.0129
					(0.0286)
p3_tenure_sp					-0.0129
					(0.00891)
interact_sp1					0.0450
					(0.0502)
interact_sp2					0.0586***
					(0.00294)
interact_sp3					0.0177
					(0.0189)
p1_tenure_eb					0.0252
					(0.0396)
p2_tenure_eb					0.00385
					(0.0468)
p3_tenure_eb					0.00979
					(0.0156)
interact_eb1					-0.0416
					(0.0502)
interact_eb2					0.0301
					(0.0563)
interact_eb3					-0.0482**
					(0.0188)
Constant	-0.0196***	8.022***			
	(0.00586)	(0.0610)			
					
Observations	553,607	260,024	601,152	275,904	601,152
R-squared	0.006	0.344			
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
